action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
9965,21,1,0,0,0,0.1,0.18,0.2,0.17,6,0,0,1,3,1.5
9966,22.5,1,0,0,0,0.6,0.39,0.34,0.29,3,0,0,1,13.5,-22.5
9967,9.5,1,0,0,0,0.76,0.6,0.63,0.57,2,0,1,0,40.5,-22.5
9968,50,1,0,0,0,0.42,0.42,0.39,0.39,4,1,0,0,0,0
9969,50,1,0,0,0,0.67,0.34,0.25,0.28,5,1,0,0,0,0
9970,50,1,0,0,0,0,0.1,0.14,0.07,6,0,0,1,50,1.5
9971,50.5,1,0,0,0,0.65,0.58,0.54,0.47,2,0,0,1,51.5,4.5
9972,54.5,1,0,0,0,0.82,0.65,0.61,0.62,2,1,0,0,0,0
9973,54.5,1,0,0,0,0.15,0.27,0.3,0.36,3,0,0,1,3,1.5
9974,56,1,0,0,0,0.85,0.46,0.24,0.38,4,0,0,1,3,1.5
9975,57.5,1,0,0,0,0.01,0.18,0.17,0.18,5,0,0,1,1.5,-1.5
9976,56,1,0,0,0,0.37,0.5,0.44,0.49,2,1,0,0,0,-1.5
9977,56,1,0,0,0,0,0.09,0.12,0.12,6,0,0,1,1.5,1.5
9978,57.5,1,0,0,0,0.65,0.66,0.67,0.6,2,0,0,1,3,1.5
9979,59,1,0,0,0,0,0.14,0.22,0.25,3,1,0,0,0,0
9980,59,1,0,0,0,0,0.1,0.16,0.16,4,0,0,1,59,1.5
9981,60.5,1,0,0,0,0,0.11,0.22,0.23,5,0,0,1,3,-3
9982,57.5,1,0,0,0,0.21,0.41,0.33,0.37,2,1,0,0,0,-3
9983,57.5,1,0,0,0,0.48,0.18,0.16,0.06,6,0,0,1,3,1.5
9984,58,1,0,0,0,0.97,0.79,0.72,0.59,2,1,0,0,0,0
9985,57.5,1,0,0,0,0.56,0.65,0.52,0.47,2,0,0,1,3,1.5
9986,59,1,0,0,0,0.53,0.43,0.41,0.42,3,0,0,1,3,1.5
9987,60.5,1,0,0,0,0.96,0.71,0.52,0.5,4,0,0,1,60.5,1.5
9988,62,1,0,0,0,0.06,0.14,0.12,0.13,6,0,0,1,13.5,4.5
9989,66.5,1,0,0,0,0,0.06,0.08,0.09,6,0,0,1,3,1.5
9990,68,1,0,0,0,0.48,0.51,0.49,0.48,2,1,0,0,0,0
9991,68,1,0,0,0,0.51,0.37,0.31,0.27,3,0,0,1,3,1.5
